Les 387 ventes d'appartements d' Ermont (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
140 000 €;66 m²;3;-;Non;D;E;2;Oui;-
206 000 €;65 m²;3;1948 / 1969;Oui;D;C;1;-;Oui
269 900 €;84 m²;4;1981 / 1991;Oui;E;C;0;-;-
205 200 €;79 m²;4;-;Oui;-;-;0;-;-
295 000 €;80 m²;4;1970 / 1980;Oui;D;E;1;Oui;Oui
181 000 €;40 m²;2;2011 / 2020;Oui;B;C;1;-;Oui
458 520 €;120 m²;5;2011 / 2020;Oui;D;A;0;-;-
229 440 €;55 m²;2;1981 / 1991;Oui;F;C;4;Oui;-
209 000 €;49 m²;2;1992 / 2000;Oui;C;D;0;-;-
290 000 €;66 m²;3;2011 / 2020;Oui;-;G;3;-;Oui
192 000 €;71 m²;3;1981 / 1991;Oui;C;D;1;-;Oui
188 000 €;54 m²;2;1981 / 1991;Oui;E;C;3;-;-
179 000 €;71 m²;3;1981 / 1991;Oui;D;B;1;-;-
186 500 €;69 m²;3;1981 / 1991;Oui;C;D;0;-;Oui
249 000 €;50 m²;2;2011 / 2020;Non;-;-;2;-;Oui
245 000 €;61 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
197 000 €;67 m²;3;1948 / 1969;Oui;D;E;3;Oui;-
220 000 €;52 m²;2;1992 / 2000;Oui;E;C;4;-;-
335 000 €;67 m²;3;2011 / 2020;Oui;C;D;1;-;Oui
329 000 €;70 m²;3;2011 / 2020;Oui;-;-;3;-;Oui
266 500 €;63 m²;3;2011 / 2020;Oui;B;C;3;-;Oui
268 000 €;77 m²;4;1981 / 1991;Oui;E;C;0;-;-
230 000 €;50 m²;2;2011 / 2020;Non;-;-;3;-;Oui
107 000 €;35 m²;1;1981 / 1991;Oui;F;C;4;-;-
234 000 €;76 m²;5;-;Oui;E;C;0;Non;Non
191 500 €;91 m²;4;-;Oui;-;-;5;Non;Oui
91 505 €;32 m²;1;1981 / 1991;Oui;F;C;0;-;-
218 000 €;57 m²;3;1914 / 1947;Oui;E;F;0;Oui;-
168 000 €;60 m²;3;-;Non;E;F;2;Oui;-
230 000 €;49 m²;2;2011 / 2020;Non;-;-;1;Non;Oui
176 000 €;50 m²;2;-;Oui;-;-;4;-;-
186 000 €;70 m²;3;-;Oui;D;C;1;-;Oui
123 000 €;23 m²;1;2011 / 2020;Non;-;-;5;Non;Oui
170 000 €;69 m²;3;1981 / 1991;Oui;D;D;1;-;Oui
135 000 €;59 m²;3;1948 / 1969;Non;D;F;2;Oui;-
178 000 €;52 m²;3;1948 / 1969;Oui;D;E;3;-;-
219 000 €;85 m²;4;-;Oui;-;-;6;Oui;-
171 000 €;54 m²;2;1981 / 1991;Oui;D;B;1;Non;Non
247 000 €;79 m²;4;2011 / 2020;Oui;-;-;0;-;-
201 975 €;100 m²;5;1970 / 1980;Oui;D;C;2;Oui;-
185 000 €;79 m²;4;-;Oui;C;D;3;Oui;-
200 000 €;63 m²;3;1981 / 1991;Oui;D;B;1;Non;Oui
196 000 €;77 m²;4;1948 / 1969;Oui;E;E;0;Oui;-
202 100 €;68 m²;3;-;Oui;D;E;6;Non;-
112 000 €;31 m²;2;-;Non;E;B;1;Non;Non
226 000 €;-;3;-;Oui;-;-;0;Oui;Oui
190 000 €;69 m²;3;1981 / 1991;Oui;E;C;3;Non;Non
244 000 €;74 m²;3;1981 / 1991;Oui;E;C;1;Non;-
173 000 €;46 m²;2;-;Oui;C;D;4;Oui;Oui
