Les 342 ventes d'appartements de  Sannois (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
240 900 €;80 m²;4;1948 / 1969;Oui;D;B;5;Oui;-
248 000 €;-;3;2011 / 2020;Oui;-;-;2;Non;Oui
195 000 €;69 m²;3;-;Oui;-;-;3;Oui;Oui
183 999 €;-;2;2011 / 2020;Oui;-;-;1;Non;Oui
218 000 €;39 m²;2;2011 / 2020;Non;-;-;3;-;Oui
229 500 €;66 m²;3;2011 / 2020;Oui;-;-;3;-;Oui
375 000 €;65 m²;3;2011 / 2020;Oui;-;-;3;-;Oui
350 000 €;77 m²;4;2011 / 2020;Non;-;-;5;-;Oui
104 500 €;30 m²;1;-;Oui;D;C;2;Oui;-
140 000 €;45 m²;2;-;Oui;-;-;1;Oui;-
240 000 €;65 m²;3;2001 / 2010;Oui;D;C;0;-;Oui
170 000 €;59 m²;2;1981 / 1991;Oui;E;C;0;-;-
239 500 €;60 m²;3;2011 / 2020;Oui;-;-;4;-;Oui
239 500 €;60 m²;3;2011 / 2020;Oui;-;-;4;-;Oui
207 000 €;39 m²;2;2011 / 2020;Non;-;-;1;-;Non
175 000 €;87 m²;5;1948 / 1969;Oui;-;F;3;Oui;-
205 800 €;60 m²;3;2011 / 2020;Oui;-;-;1;-;Oui
268 000 €;61 m²;3;2011 / 2020;Oui;-;-;4;-;Oui
480 150 €;97 m²;5;2011 / 2020;Oui;-;-;5;-;Oui
258 900 €;-;3;2011 / 2020;Oui;-;-;3;Non;Oui
143 000 €;68 m²;4;1948 / 1969;Non;-;-;4;Oui;Oui
175 000 €;66 m²;3;-;-;-;-;1;Oui;-
150 000 €;43 m²;2;-;Non;F;C;2;Oui;-
125 000 €;27 m²;1;2001 / 2010;Oui;D;B;4;-;-
299 000 €;61 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
213 000 €;45 m²;2;2011 / 2020;Non;-;-;1;-;Oui
186 960 €;-;2;2011 / 2020;Oui;-;-;2;Non;-
228 360 €;-;2;2011 / 2020;Oui;-;-;3;Non;Oui
276 519 €;-;4;2011 / 2020;Oui;-;-;2;Non;Oui
172 200 €;-;2;2011 / 2020;Oui;-;-;0;Non;Oui
210 200 €;57 m²;3;2011 / 2020;Oui;-;-;0;-;Oui
240 000 €;60 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
158 300 €;42 m²;2;2011 / 2020;Oui;-;-;0;-;-
84 000 €;25 m²;1;1914 / 1947;Non;-;-;0;Oui;-
184 959 €;-;2;2011 / 2020;Oui;-;-;1;Non;-
177 000 €;-;2;2011 / 2020;Oui;-;-;1;Non;-
263 760 €;-;3;2011 / 2020;Oui;-;-;2;Non;Oui
325 000 €;67 m²;3;2011 / 2020;Non;-;-;5;-;Oui
320 837 €;80 m²;4;2011 / 2020;Oui;-;-;4;-;Oui
232 000 €;44 m²;2;2011 / 2020;Oui;-;-;4;-;Oui
214 000 €;39 m²;2;2011 / 2020;Oui;-;-;2;-;Oui
389 600 €;-;5;2011 / 2020;Oui;-;-;3;Non;Oui
252 879 €;-;3;2011 / 2020;Oui;-;-;2;Non;Oui
185 960 €;-;2;2011 / 2020;Oui;-;-;0;Non;Oui
205 000 €;79 m²;4;1981 / 1991;Oui;E;C;4;-;-
168 000 €;42 m²;2;2011 / 2020;Oui;-;-;1;-;Oui
159 129 €;40 m²;2;2011 / 2020;Oui;-;-;4;-;Oui
248 000 €;-;3;2011 / 2020;Oui;-;-;1;Non;Oui
130 000 €;35 m²;2;2001 / 2010;Non;E;C;1;-;-
155 900 €;41 m²;2;2011 / 2020;Oui;-;-;2;-;Oui
146 700 €;26 m²;1;2011 / 2020;Non;-;-;3;-;Oui
277 900 €;79 m²;4;2011 / 2020;Oui;-;-;2;-;Oui
262 900 €;77 m²;4;2011 / 2020;Oui;-;-;1;-;Oui
326 000 €;63 m²;3;2011 / 2020;Oui;-;-;4;-;Oui
460 000 €;113 m²;5;2011 / 2020;Oui;-;-;5;Oui;Oui
520 000 €;110 m²;5;2011 / 2020;Oui;-;-;4;Oui;-
211 000 €;57 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
238 000 €;39 m²;2;2011 / 2020;Oui;-;-;2;-;Oui
415 000 €;85 m²;4;2011 / 2020;Non;-;-;3;-;Oui
258 000 €;93 m²;4;1981 / 1991;Oui;-;-;4;Oui;-
213 638 €;60 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
135 999 €;24 m²;1;2011 / 2020;Non;-;-;1;-;Non
130 000 €;67 m²;3;1970 / 1980;Oui;D;E;0;-;-
175 000 €;53 m²;3;1948 / 1969;Non;D;B;4;Oui;-
