Les 1 577 ventes d'appartements d' Issy-les-Moulineaux (92) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
262 000 €;38 m²;2;Avant 1850;Non;F;G;3;Oui;-
635 000 €;76 m²;3;1981 / 1991;Oui;D;E;1;-;Oui
220 000 €;50 m²;2;1981 / 1991;Oui;-;-;1;-;-
138 000 €;20 m²;1;1850 / 1913;Non;-;-;3;-;-
135 000 €;31 m²;1;-;Oui;F;D;1;Oui;Oui
203 000 €;32 m²;1;1992 / 2000;Non;G;D;0;Oui;Oui
407 400 €;56 m²;3;-;Non;D;E;1;Oui;-
425 000 €;56 m²;3;-;Non;E;D;3;Oui;Oui
251 800 €;40 m²;3;1948 / 1969;Non;-;-;1;Oui;-
202 500 €;24 m²;1;1992 / 2000;Non;D;B;1;Oui;Oui
230 305 €;29 m²;2;-;Non;F;C;4;Oui;-
650 000 €;102 m²;5;1914 / 1947;Oui;-;-;1;-;Non
635 000 €;85 m²;4;2001 / 2010;Oui;D;B;5;-;-
214 780 €;28 m²;1;1992 / 2000;Oui;-;-;3;-;Oui
350 000 €;47 m²;2;1981 / 1991;Oui;F;C;0;Oui;-
260 000 €;40 m²;2;1914 / 1947;Non;F;B;2;Oui;-
220 350 €;34 m²;2;1970 / 1980;Non;-;-;3;Oui;-
470 000 €;51 m²;2;2011 / 2020;Oui;-;-;5;Oui;Oui
460 000 €;70 m²;3;1970 / 1980;Oui;C;D;4;Oui;Oui
125 000 €;21 m²;1;-;Non;E;C;4;-;Oui
625 000 €;67 m²;3;1948 / 1969;Non;-;-;7;Oui;Oui
725 000 €;80 m²;3;2011 / 2020;Oui;-;-;3;Oui;Oui
707 150 €;88 m²;4;1992 / 2000;Oui;D;B;3;Oui;Oui
462 700 €;63 m²;3;1948 / 1969;Non;C;D;2;Oui;-
150 000 €;21 m²;1;1970 / 1980;Non;D;B;1;-;-
197 640 €;49 m²;2;1981 / 1991;Oui;E;C;1;Oui;Oui
227 000 €;31 m²;2;1992 / 2000;Non;-;-;2;Oui;-
600 000 €;93 m²;4;2001 / 2010;Oui;-;-;4;-;-
440 000 €;65 m²;3;-;Non;D;B;3;-;Oui
188 000 €;31 m²;2;-;-;-;-;0;Oui;-
386 500 €;45 m²;2;-;Oui;-;-;6;Oui;Oui
950 000 €;114 m²;5;2001 / 2010;Oui;D;B;3;Oui;Oui
509 000 €;62 m²;3;1948 / 1969;Oui;E;G;2;Oui;Oui
585 000 €;81 m²;4;2011 / 2020;Oui;-;-;2;Oui;Oui
794 800 €;86 m²;4;1948 / 1969;-;D;E;3;Oui;-
515 000 €;73 m²;3;1981 / 1991;Oui;E;C;5;Oui;Oui
500 000 €;58 m²;2;2011 / 2020;Oui;-;-;2;-;Oui
240 000 €;62 m²;3;1981 / 1991;Non;B;B;0;Oui;Oui
730 320 €;84 m²;4;-;Non;-;-;5;Oui;-
215 900 €;44 m²;2;-;Oui;-;-;5;-;Oui
227 700 €;46 m²;2;-;Oui;-;-;4;-;Oui
1 135 000 €;166 m²;4;1914 / 1947;Non;D;E;3;-;-
715 000 €;81 m²;4;2011 / 2020;Oui;-;-;2;-;Oui
529 500 €;53 m²;2;2001 / 2010;Oui;D;B;4;Oui;-
568 000 €;69 m²;3;2001 / 2010;Oui;E;C;0;Oui;Oui
304 186 €;62 m²;3;1970 / 1980;Oui;D;B;1E+1;-;Oui
408 000 €;53 m²;2;2011 / 2020;Oui;B;C;3;-;Oui
775 000 €;125 m²;5;2011 / 2020;Oui;-;-;2;Oui;Oui
785 000 €;124 m²;5;2011 / 2020;Oui;-;-;2;Oui;Oui
354 999 €;42 m²;2;2011 / 2020;Non;-;-;3;-;Oui
625 000 €;64 m²;3;-;Oui;E;F;1;-;-
115 000 €;73 m²;4;-;Non;-;-;0;Oui;Oui
412 500 €;53 m²;2;2001 / 2010;Oui;D;B;1;Oui;Oui
238 315 €;54 m²;2;1992 / 2000;Oui;D;B;7;-;Non
489 999 €;66 m²;3;2011 / 2020;Oui;-;-;2;-;Non
238 000 €;28 m²;1;2011 / 2020;Oui;C;C;7;-;-
233 000 €;47 m²;2;-;Oui;E;F;5;Oui;Oui
422 000 €;52 m²;2;1992 / 2000;Oui;E;B;1;Oui;Oui
199 048 €;29 m²;2;1914 / 1947;Non;-;-;0;Oui;-
252 000 €;26 m²;1;2001 / 2010;Oui;D;B;2;-;-
100 000 €;29 m²;1;-;-;-;-;9;Oui;Oui
147 900 €;31 m²;1;-;Oui;-;-;1;-;-
148 400 €;28 m²;1;-;Oui;-;-;6;-;Oui
255 000 €;28 m²;1;2011 / 2020;Non;B;C;5;-;-
160 000 €;20 m²;1;1981 / 1991;Oui;E;C;2;-;Oui
